[0.019s] Invoking command in '/home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jack/ros2_ws/install/unity_slam_example:/home/jack/ros2_ws/install/camera_subscriber:/home/jack/rover_workspace/install/rover_metrics:/opt/ros/humble /usr/bin/cmake --build /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description -- -j24 -l24
[0.206s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.206s] [0mCMake Error: The current CMakeCache.txt directory /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description/CMakeCache.txt is different than the directory /home/jack/rover_workspace/build/roverrobotics_description where CMakeCache.txt was created. This may result in binaries being created in the wrong place. If you are not sure, reedit the CMakeCache.txt[0m
[0.206s] -- Configuring done
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_2wd.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd.urdf.xacro
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/miti.urdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/urdf/rover_4wd.sdf
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/ament_index/resource_index/package_run_dependencies/roverrobotics_description
[0.253s] -- Installing: /home/jack/rover_workspace/install/roverrobotics_description/share/ament_index/resource_index/parent_prefix_path/roverrobotics_description
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/environment/ament_prefix_path.sh
[0.253s] -- Installing: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/environment/ament_prefix_path.dsv
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/environment/path.sh
[0.253s] -- Installing: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/environment/path.dsv
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/local_setup.bash
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/local_setup.sh
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/local_setup.zsh
[0.253s] -- Installing: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/local_setup.dsv
[0.253s] -- Installing: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/package.dsv
[0.253s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/ament_index/resource_index/packages/roverrobotics_description
[0.254s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/cmake/roverrobotics_descriptionConfig.cmake
[0.254s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/cmake/roverrobotics_descriptionConfig-version.cmake
[0.254s] -- Up-to-date: /home/jack/rover_workspace/install/roverrobotics_description/share/roverrobotics_description/package.xml
[0.254s] Invoked command in '/home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jack/ros2_ws/install/unity_slam_example:/home/jack/ros2_ws/install/camera_subscriber:/home/jack/rover_workspace/install/rover_metrics:/opt/ros/humble /usr/bin/cmake --install /home/jack/src/RoboTerrain/ros2_ws/build/roverrobotics_description
